subject,trial,condition,block,sound_file,arousal,valence,time_bin_s,pupil_pct_change_sound_pre500to0_bin,pupil_bin_valid_ratio,pupil_bin_valid_ratio_lt50,trial_is_rejected_pupil,pupil_baseline_pre500to0,reverse_latency_main_s,mean_aligned_spv_0to2s,congruent_occupancy_0to2s,reverse_found_main,n_valid_slowphases
sub-20,52,WB,2,17.wav,2,4,0.95,-0.856265697141105,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,1.05,1.48301919274999,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,1.15,4.353611415789,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,1.25,5.19677145268065,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,1.35,3.77886081003649,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,1.45,2.40653503547558,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,1.55,1.45509320445089,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,1.65,1.33668934280098,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,1.75,1.90385676382362,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,1.85,2.52016472181662,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,1.95,2.96194241677907,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,2.05,3.10903435936437,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,2.15,2.26257834110861,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,2.25,1.90047471456848,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,2.35,2.28609683589349,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
sub-20,52,WB,2,17.wav,2,4,2.45,2.73316400351159,1,0,0,22.233373303821,1.164,1.00207304482212,0.0619380619380619,1,7
